="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="89","Jackson, Tate",="100",="143504274",="100 FR LCM",="22",="48.29",="48.29",="2020 Olympic Trials Wave II",="2019 WUGS",="7/8/2019",="Unattached",="ST",="",="1014",="56",="Yes"
="91","Haas, Townley",="100",="132598732",="100 FR LCM",="21",="48.30",="48.30",="2021 Summer Nationals (LCM)",="2018 Summer Nationals",="7/25/2018","NOVA of Virginia Aquatics, Inc",="VA",="",="1013",="56",="Yes"
="91","Pieroni, Blake",="100",="133071568",="100 FR LCM",="22",="48.30",="48.30",="2021 Summer Nationals (LCM)",="2018 World Cup - Kazan",="9/8/2018",="Unattached",="CA",="",="1013",="56",="Yes"
="93","Chierighini, Marcelo",="100",="149096429",="100 FR LCM",="26",="48.31",="48.31",="2021 Summer Nationals (LCM)",="2017 World Champs",="7/26/2017",="Unattached",="SE",="Yes",="1013",="56",="Yes"
="93","Pieroni, Blake",="100",="143736930",="100 FR LCM",="23",="48.31",="48.31",="2020 Olympic Trials Wave II",="2019 World Cup - Tokyo",="8/3/2019",="Indiana Swim Club",="IN",="",="1013",="56",="Yes"
="93","Pieroni, Blake",="100",="149089973",="100 FR LCM",="23",="48.31",="48.31",="2020 Olympic Trials Wave II",="2019 World Champs",="7/24/2019",="Indiana Swim Club",="IN",="",="1013",="56",="Yes"
="96","Adrian, Nathan",="100",="132972488",="100 FR LCM",="29",="48.32",="48.32",="2021 Summer Nationals (LCM)",="2018 Pan Pacific Champs",="8/10/2018",="Unattached",="PC",="",="1012",="56",="Yes"
="97","Apple, Zach",="100",="132597843",="100 FR LCM",="21",="48.34",="48.34",="2021 Summer Nationals (LCM)",="2018 Summer Nationals",="7/25/2018",="Indiana University",="IN",="",="1011",="56",="Yes"
="97","Condorelli, Santo",="100",="108068747",="100 FR LCM",="21",="48.34",="48.34",="2020 Olympic Trials Wave I",="2016 Pro Series - Indianapolis",="6/5/2016",="Unattached",="CA",="Yes",="1011",="56",="Yes"
="97","Morozov, Vladimir",="100",="129671029",="100 FR LCM",="25",="48.34",="48.34",="2021 Summer Nationals (LCM)",="Russian National Championships 2018",="4/21/2018",="Unattached",="CA",="Yes",="1011",="56",="Yes"
="100","Chierighini, Marcelo",="100",="132972545",="100 FR LCM",="27",="48.36",="48.36",="2021 Summer Nationals (LCM)",="2018 Pan Pacific Champs",="8/10/2018",="Unattached",="SE",="Yes",="1010",="56",="Yes"
="100","Held, Ryan",="100",="121886125",="100 FR LCM",="22",="48.36",="48.36",="2021 Summer Nationals (LCM)",="2017 WUGS",="8/24/2017",="Unattached",="NC",="",="1010",="56",="Yes"
="100","Jackson, Tate",="100",="143708914",="100 FR LCM",="22",="48.36r",="48.36",="2020 Olympic Trials Wave II",="2019 WUGS",="7/4/2019",="Unattached",="ST",="",="1010",="56",="Yes"
="103","Howard, Robert",="100",="143705700",="100 FR LCM",="23",="48.37",="48.37",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="Mission Viejo Nadadores",="CA",="",="1010",="56",="Yes"
="104","Morozov, Vladimir",="100",="110499364",="100 FR LCM",="24",="48.39",="48.39",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/9/2016",="Unattached",="CA",="Yes",="1009",="56",="Yes"
="105","Pieroni, Blake",="100",="149100037",="100 FR LCM",="21",="48.40r",="48.40",="2021 Summer Nationals (LCM)",="2017 World Champs",="7/23/2017",="Indiana University",="IN",="",="1008",="56",="Yes"
="106","Chierighini, Marcelo",="100",="110526809",="100 FR LCM",="25",="48.41",="48.41",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/10/2016",="Unattached",="SE",="Yes",="1008",="56",="Yes"
="106","Condorelli, Santo",="100",="107533994",="100 FR LCM",="21",="48.41",="48.41",="2020 Olympic Trials Wave I",="2016 Pro Series - Charlotte ",="5/15/2016",="Canyons Aquatic Club",="CA",="Yes",="1008",="56",="Yes"
="108","Adrian, Nathan",="100",="132597784",="100 FR LCM",="29",="48.42",="48.42",="2021 Summer Nationals (LCM)",="2018 Summer Nationals",="7/25/2018",="California Aquatics",="PC",="",="1007",="56",="Yes"
