="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="144","Geer, Margo",="100",="136898673",="100 FR LCM",="26",="54.56",="54.56",="2020 Olympic Trials Wave II",="2019 Pro Series - Knoxville",="1/12/2019",="Mission Viejo Nadadores",="CA",="",="979",="56",="Yes"
="146","Smoliga, Olivia",="100",="148834022",="100 FR LCM",="25",="54.57",="54.57",="2020 Olympic Trials Wave II",="2019 U.S. Open",="12/7/2019",="Athens Bulldog Swim Club",="GA",="",="978",="56",="Yes"
="147","Walsh, Gretchen",="100",="148834430",="100 FR LCM",="16",="54.58",="54.58",="2020 Olympic Trials Wave II",="2019 U.S. Open",="12/7/2019",="Nashville Aquatic Club",="SE",="",="981",="56",="Yes"
="148","Comerford, Mallory",="100",="148229475",="100 FR LCM",="22",="54.59",="54.59",="2020 Olympic Trials Wave II",="2020 Pro Series - Knoxville",="1/19/2020",="Cardinal Aquatics",="KY",="",="977",="56",="Yes"
="148","Geer, Margo",="100",="139602696",="100 FR LCM",="26",="54.59",="54.59",="2020 Olympic Trials Wave II",="2019 Pro Series - Des Moines",="3/7/2019",="Mission Viejo Nadadores",="CA",="",="977",="56",="Yes"
="150","Murez, Andi",="100",="154324266",="100 FR LCM",="29",="54.60",="54.60",="2020 Olympic Trials Wave II",="2021 SI CSTE Time TrialsApril",="4/24/2021",="Team Elite",="NC",="Yes",="977",="56",="Yes"
="150","Schmitt, Allison",="100",="154561543",="100 FR LCM",="30",="54.60",="54.60",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - Ind",="5/13/2021",="Sun Devil Swimming",="AZ",="",="977",="56",="Yes"
="152","Mack, Linnea",="100",="154759417",="100 FR LCM",="25",="54.61",="54.61",="2020 Olympic Trials Wave II",="2021 SI 13O A LC Meet",="5/23/2021",="Team Elite",="NC",="",="976",="56",="Yes"
="152","Smoliga, Olivia",="100",="154113216",="100 FR LCM",="26",="54.61",="54.61",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - Mis",="4/10/2021",="Athens Bulldog Swim Club",="GA",="",="976",="56",="Yes"
="152","Tetzloff, Aly",="100",="143707282",="100 FR LCM",="22",="54.61",="54.61",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="War Eagle Swimming",="SE",="",="976",="56",="Yes"
="155","Brown, Erika",="100",="154174207",="100 FR LCM",="22",="54.62",="54.62",="2020 Olympic Trials Wave II",="2021 KY Louisville Spring Meet",="4/17/2021",="Tennessee Aquatics",="SE",="",="976",="56",="Yes"
="155","Manuel, Simone",="100",="153422666",="100 FR LCM",="24",="54.62",="54.62",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - San",="3/4/2021",="Alto Swim Club",="PC",="",="976",="56",="Yes"
="155","Weitzeil, Abbey",="100",="154852275",="100 FR LCM",="24",="54.62",="54.62",="2020 Olympic Trials Wave II",="2021 PC SCSC LCM Senior 2",="5/23/2021",="California Aquatics",="PC",="",="976",="56",="Yes"
="158","Deloof, Catie",="100",="151010857",="100 FR LCM",="23",="54.63",="54.63",="2020 Olympic Trials Wave II",="2020 VA UVA CA-Y Intrasquad Me",="9/26/2020",="Cavalier Aquatics/Piedmont Family YMCA",="VA",="",="975",="56",="Yes"
="158","Gastaldello, Beryl",="100",="154098335",="100 FR LCM",="26",="54.63",="54.63",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - Mis",="4/10/2021",="Aggie Swim Club",="GU",="Yes",="975",="56",="Yes"
="158","Hinds, Natalie",="100",="154582338",="100 FR LCM",="27",="54.63",="54.63",="2020 Olympic Trials Wave II",="2021 GA SwimAtlanta's Mizuno 2021",="5/16/2021",="Athens Bulldog Swim Club",="GA",="",="975",="56",="Yes"
="158","Meynen, Julie",="100",="141912175",="100 FR LCM",="21",="54.63",="54.63",="2020 Olympic Trials Wave II",="2019 Pro Series - Clovis",="6/15/2019",="War Eagle Swimming",="SE",="Yes",="975",="56",="Yes"
="162","Geer, Margo",="100",="143860477",="100 FR LCM",="27",="54.65",="54.65",="2020 Olympic Trials Wave II",="2019 Pan Am Games",="8/8/2019",="Mission Viejo Nadadores",="CA",="",="974",="56",="Yes"
="162","Smoliga, Olivia",="100",="140435934",="100 FR LCM",="24",="54.65",="54.65",="2020 Olympic Trials Wave II",="2019 Pro Series - Richmond",="4/13/2019",="Athens Bulldog Swim Club",="GA",="",="974",="56",="Yes"
="164","Geer, Margo",="100",="148831951",="100 FR LCM",="27",="54.66",="54.66",="2020 Olympic Trials Wave II",="2019 U.S. Open",="12/7/2019",="Mission Viejo Nadadores",="CA",="",="974",="56",="Yes"
