="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="82","Dressel, Caeleb",="100",="154098321",="100 FR LCM",="24",="48.82",="48.82",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - Mis",="4/10/2021",="Gator Swim Club",="FL",="",="988",="56",="Yes"
="83","Apple, Zach",="100",="143503978",="100 FR LCM",="22",="48.83",="48.83",="2020 Olympic Trials Wave II",="2019 WUGS",="7/7/2019",="Indiana Swim Club",="IN",="",="987",="56",="Yes"
="83","Chadwick, Michael",="100",="140434612",="100 FR LCM",="23",="48.83",="48.83",="2020 Olympic Trials Wave II",="2019 Pro Series - Richmond",="4/13/2019",="Team Elite",="NC",="",="987",="56",="Yes"
="83","Seliskar, Andrew",="100",="143736938",="100 FR LCM",="22",="48.83",="48.83",="2020 Olympic Trials Wave II",="2019 World Cup - Tokyo",="8/3/2019",="California Aquatics",="PC",="",="987",="56",="Yes"
="86","Apple, Zach",="100",="143503979",="100 FR LCM",="22",="48.84",="48.84",="2020 Olympic Trials Wave II",="2019 WUGS",="7/7/2019",="Indiana Swim Club",="IN",="",="987",="56",="Yes"
="86","Dressel, Caeleb",="100",="154054138",="100 FR LCM",="24",="48.84",="48.84",="2020 Olympic Trials Wave II",="2021 FL ISCA International Senior Meet",="3/27/2021",="Gator Swim Club",="FL",="",="987",="56",="Yes"
="88","Becker, Bowe",="100",="143738916",="100 FR LCM",="22",="48.85",="48.85",="2020 Olympic Trials Wave II",="2019 Time Trials - National Ch",="8/3/2019",="War Eagle Swimming",="SE",="",="986",="56",="Yes"
="89","Apple, Zach",="100",="148830820",="100 FR LCM",="22",="48.86",="48.86",="2020 Olympic Trials Wave II",="2019 U.S. Open",="12/7/2019",="Mission Viejo Nadadores",="CA",="",="986",="56",="Yes"
="89","Molacek, Jacob",="100",="143294124",="100 FR LCM",="23",="48.86",="48.86",="2020 Olympic Trials Wave II",="2019 NC LC SR Championships",="7/19/2019",="Wolfpack Elite",="NC",="",="986",="56",="Yes"
="89","Pieroni, Blake",="100",="141078404",="100 FR LCM",="23",="48.86",="48.86",="2020 Olympic Trials Wave II",="2019 Pro Series - Bloomington",="5/17/2019",="Indiana Swim Club",="IN",="",="986",="56",="Yes"
="92","Minakov, Andrei",="100",="152138285",="100 FR LCM",="17",="48.87",="48.87",="2020 Olympic Trials Wave II",="2019 Russian National Champs",="4/9/2019",="Unattached",="PC",="Yes",="996",="56",="Yes"
="93","Chadwick, Michael",="100",="143861076",="100 FR LCM",="24",="48.88",="48.88",="2020 Olympic Trials Wave II",="2019 Pan Am Games",="8/8/2019",="Team Elite",="NC",="",="985",="56",="Yes"
="94","Apple, Zach",="100",="153975980",="100 FR LCM",="23",="48.89",="48.89",="2020 Olympic Trials Wave II",="2021 IN Combined Speedo Sectional",="3/28/2021",="Mission Viejo Nadadores",="CA",="",="984",="56",="Yes"
="95","Condorelli, Santo",="100",="154768722",="100 FR LCM",="26",="48.90",="48.90",="2020 Olympic Trials Wave II",="2021 VA PRVT A3 May Qualifier",="5/21/2021",="Unattached",="OR",="Yes",="984",="56",="Yes"
="95","Fraser, Brett",="100",="152097105",="100 FR LCM",="30",="48.90",="48.90",="2020 Olympic Trials Wave II",="2020 53e CIG Challenge ",="1/17/2020",="Unattached",="MR",="Yes",="984",="56",="Yes"
="97","Adrian, Nathan",="100",="154561433",="100 FR LCM",="32",="48.91",="48.91",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - Ind",="5/13/2021",="Unattached",="PC",="",="983",="56",="Yes"
="97","Haas, Townley",="100",="148832134",="100 FR LCM",="22",="48.91",="48.91",="2020 Olympic Trials Wave II",="2019 U.S. Open",="12/7/2019","NOVA of Virginia Aquatics, Inc",="VA",="",="983",="56",="Yes"
