,full_name,swim_time_formatted,swim_date
660,"Pebley, Jacob","=""49.45""","=""6/27/2017"""
661,"Pieroni, Blake","=""49.45""","=""8/9/2019"""
669,"Becker, Bowe","=""49.46""","=""6/27/2017"""
672,"Jackson, Tate","=""49.46""","=""6/15/2019"""
678,"Newkirk, Jeff","=""49.46""","=""7/31/2019"""
683,"Held, Ryan","=""49.47""","=""1/19/2020"""
684,"House, Grant","=""49.47""","=""11/14/2020"""
685,"Krueger, Danny","=""49.47""","=""6/27/2017"""
690,"Ress, Justin","=""49.47""","=""5/17/2018"""
694,"Chadwick, Michael","=""49.48""","=""12/6/2020"""
695,"Conger, Jack","=""49.48""","=""3/7/2019"""
697,"Held, Ryan","=""49.48""","=""6/16/2018"""
698,"Held, Ryan","=""49.48""","=""3/7/2019"""
699,"Hoffer, Ryan","=""49.48""","=""7/31/2019"""
705,"Ress, Justin","=""49.48""","=""5/14/2017"""
707,"Apple, Zach","=""49.49""","=""3/4/2021"""
711,"Kibler, Drew","=""49.49""","=""5/20/2021"""
712,"Krueger, Danny","=""49.49""","=""7/11/2019"""
716,"Ress, Justin","=""49.49""","=""1/17/2021"""
717,"Conger, Jack","=""49.50""","=""3/7/2019"""
718,"Conger, Jack","=""49.50""","=""6/3/2016"""
726,"Adrian, Nathan","=""49.51""","=""3/5/2016"""
727,"Apple, Zach","=""49.51""","=""6/19/2016"""
732,"Grevers, Matt","=""49.51""","=""7/25/2018"""
733,"Jensen, Michael","=""49.51""","=""5/27/2018"""
739,"Pieroni, Blake","=""49.51""","=""6/22/2018"""
740,"Rooney, Maxime","=""49.51""","=""3/4/2021"""
741,"Apple, Zach","=""49.52""","=""6/13/2019"""
743,"Chadwick, Michael","=""49.52""","=""1/17/2021"""
745,"Adrian, Nathan","=""49.53""","=""3/4/2021"""
746,"Chadwick, Michael","=""49.53""","=""11/22/2015"""
750,"Pieroni, Blake","=""49.53""","=""3/5/2020"""
751,"Pieroni, Blake","=""49.53""","=""3/4/2021"""
754,"Adrian, Nathan","=""49.54""","=""8/8/2019"""
755,"Chadwick, Michael","=""49.54""","=""5/5/2017"""
757,"Held, Ryan","=""49.54""","=""5/17/2018"""
759,"Jackson, Tate","=""49.54""","=""3/5/2020"""
760,"Kibler, Drew","=""49.54""","=""4/25/2021"""
764,"Grevers, Matt","=""49.55""","=""6/29/2016"""
765,"Jackson, Tate","=""49.55""","=""6/15/2019"""
766,"Kibler, Drew","=""49.55""","=""8/24/2018"""
768,"Murphy, Ryan","=""49.55""","=""3/1/2018"""
769,"Rooney, Maxime","=""49.55""","=""8/23/2017"""
772,"Becker, Bowe","=""49.56""","=""12/7/2019"""
776,"Kibler, Drew","=""49.56""","=""7/31/2019"""
780,"Apple, Zach","=""49.57""","=""5/13/2021"""
785,"Lasco, Destin","=""49.57""","=""7/31/2019"""
789,"Willenbring, Matt","=""49.57""","=""6/27/2017"""
790,"Adrian, Nathan","=""49.58""","=""1/12/2018"""
791,"Apple, Zach","=""49.58""","=""7/6/2018"""
794,"Dressel, Caeleb","=""49.58""","=""6/3/2018"""
795,"Farris, Dean","=""49.58""","=""5/13/2021"""
796,"Fleagle, Josh","=""49.58""","=""6/29/2016"""
798,"House, Grant","=""49.58""","=""5/13/2021"""
812,"Krueger, Danny","=""49.59""","=""5/20/2021"""
813,"Molacek, Jacob","=""49.59""","=""7/12/2019"""
818,"Shebat, John","=""49.59""","=""7/25/2018"""
823,"Jackson, Tate","=""49.60""","=""7/6/2017"""
827,"Murphy, Ryan","=""49.60""","=""5/5/2017"""
828,"Ress, Justin","=""49.60""","=""3/4/2021"""
830,"Chadwick, Michael","=""49.61""","=""6/29/2016"""
831,"Chadwick, Michael","=""49.61""","=""4/10/2021"""
833,"Decoursey, Kyle","=""49.61""","=""12/7/2019"""
836,"Hoffer, Ryan","=""49.61""","=""7/31/2019"""
838,"House, Grant","=""49.61""","=""3/5/2020"""
842,"Krueger, Danny","=""49.61""","=""8/3/2019"""
843,"Krueger, Danny","=""49.61""","=""8/25/2016"""
844,"Maurer, Luke","=""49.61""","=""4/10/2021"""
849,"Chadwick, Michael","=""49.62""","=""4/10/2021"""
852,"Held, Ryan","=""49.62""","=""6/11/2016"""
854,"Murphy, Ryan","=""49.62""","=""3/1/2018"""
855,"Theall, Mark","=""49.62""","=""7/31/2019"""
856,"Auchinachie, Cameron","=""49.63""","=""5/26/2019"""
860,"Krueger, Danny","=""49.63""","=""7/11/2019"""
864,"Rooney, Maxime","=""49.63""","=""11/2/2015"""
867,"Held, Ryan","=""49.64""","=""7/6/2018"""
868,"Jackson, Tate","=""49.64""","=""4/22/2018"""
875,"Seliskar, Andrew","=""49.64""","=""4/10/2021"""
877,"Apple, Zach","=""49.65""","=""11/8/2019"""
879,"Dressel, Caeleb","=""49.65""","=""5/20/2018"""
883,"Loy, Drew","=""49.65""","=""7/25/2018"""
884,"Rooney, Maxime","=""49.65""","=""5/20/2021"""
885,"Chaney, Adam","=""49.66""","=""7/31/2019"""
886,"Decoursey, Kyle","=""49.66""","=""6/27/2017"""
887,"Decoursey, Kyle","=""49.66""","=""6/15/2018"""
890,"Howard, Robert","=""49.66""","=""3/5/2020"""
893,"Lasco, Destin","=""49.66""","=""7/25/2018"""
894,"Pieroni, Blake","=""49.66""","=""9/14/2018"""
898,"Alexy, Jack","=""49.67""","=""7/31/2019"""
903,"Jackson, Tate","=""49.67""","=""7/12/2018"""
906,"Newkirk, Jeff","=""49.67""","=""7/31/2019"""
908,"Ress, Justin","=""49.67""","=""5/14/2017"""
909,"Shields, Tom","=""49.67""","=""6/27/2017"""
915,"Novak, Jesse","=""49.68""","=""7/25/2018"""
916,"Pinfold, Brett","=""49.68""","=""6/27/2017"""
918,"Sannem, Jake","=""49.68""","=""7/31/2019"""
922,"Chadwick, Michael","=""49.69""","=""11/7/2019"""
923,"Conger, Jack","=""49.69""","=""4/13/2019"""
925,"Grevers, Matt","=""49.69""","=""6/29/2016"""
926,"Held, Ryan","=""49.69""","=""6/4/2017"""
927,"Hoffer, Ryan","=""49.69""","=""8/25/2016"""
929,"House, Grant","=""49.69""","=""4/4/2021"""
931,"Pinfold, Brett","=""49.69""","=""3/5/2020"""
934,"Smith, Kieran","=""49.69""","=""5/2/2021"""
935,"Stewart, Coleman","=""49.69""","=""3/4/2021"""
938,"Apple, Zach","=""49.70""","=""5/14/2017"""
941,"Fleagle, Josh","=""49.70""","=""6/29/2016"""
943,"Held, Ryan","=""49.70""","=""1/17/2021"""
944,"Jensen, Michael","=""49.70""","=""6/22/2019"""
947,"Pebley, Jacob","=""49.70""","=""3/7/2019"""
953,"Haas, Townley","=""49.71""","=""7/12/2018"""
954,"Hoover, Sam","=""49.71""","=""11/14/2020"""
958,"Pinfold, Brett","=""49.71""","=""3/5/2020"""
960,"Rooney, Maxime","=""49.71""","=""12/5/2015"""
964,"Adrian, Nathan","=""49.72""","=""4/13/2018"""
967,"Chadwick, Michael","=""49.72""","=""12/7/2019"""
968,"Chadwick, Michael","=""49.72""","=""4/13/2018"""
971,"Haas, Townley","=""49.72""","=""5/15/2016"""
983,"Held, Ryan","=""49.73""","=""6/16/2018"""
984,"Maurer, Luke","=""49.73""","=""4/10/2021"""
986,"Shebat, John","=""49.73""","=""7/25/2018"""
991,"Conger, Jack","=""49.74""","=""5/15/2016"""
992,"Farris, Dean","=""49.74""","=""11/7/2019"""
993,"Farris, Dean","=""49.74""","=""1/19/2020"""
