,full_name,swim_time_formatted,meet_name,swim_date
312,"Chadwick, Michael","=""48.96""","=""Time Trials 2016 U.S. Olympic""","=""6/30/2016"""
313,"Dressel, Caeleb","=""48.96""","=""2018 Pro Series - Santa Clara ""","=""6/9/2018"""
315,"Farris, Dean","=""48.97""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
316,"Jensen, Michael","=""48.97""","=""2018 Summer Nationals""","=""7/25/2018"""
317,"Adrian, Nathan","=""48.98""","=""2021 TYR Pro Swim Series - Mis""","=""4/10/2021"""
318,"Adrian, Nathan","=""48.98""","=""2016 Atlanta Classic Swim Meet""","=""5/15/2016"""
319,"Apple, Zach","=""48.98""","=""2020 Pro Series - Knoxville""","=""1/19/2020"""
320,"Murphy, Ryan","=""48.98""","=""2018 Summer Nationals""","=""7/25/2018"""
321,"Adrian, Nathan","=""48.99""","=""2018 Pro Series - Santa Clara ""","=""6/9/2018"""
323,"Held, Ryan","=""48.99""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
324,"Jackson, Tate","=""48.99""","=""2017 U.S. Open""","=""8/2/2017"""
327,"Seliskar, Andrew","=""48.99""","=""2018 Pan Pacific Champs""","=""8/10/2018"""
328,"Becker, Bowe","=""49.00""","=""2019 Summer Nationals""","=""7/31/2019"""
333,"Held, Ryan","=""49.00""","=""2020 Toyota Huntsville""","=""11/14/2020"""
334,"Pieroni, Blake","=""49.00""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
336,"Rooney, Maxime","=""49.00""","=""2017 Summer Nationals""","=""6/27/2017"""
337,"Chadwick, Michael","=""49.01""","=""2018 CA MVN Fran Crippen SMOC""","=""6/22/2018"""
339,"Pieroni, Blake","=""49.01""","=""2018 World Cup - Kazan""","=""9/8/2018"""
343,"Chadwick, Michael","=""49.02""","=""2017 Summer Nationals""","=""6/27/2017"""
344,"Farris, Dean","=""49.02""","=""2019 U.S. Open""","=""12/7/2019"""
348,"Chadwick, Michael","=""49.03""","=""2020 Pro Swim - Des Moines TT""","=""3/6/2020"""
350,"Held, Ryan","=""49.03""","=""2021 SE WAKE Spring Invitational""","=""5/1/2021"""
353,"Howard, Robert","=""49.04""","=""2017 U.S. Open""","=""8/2/2017"""
354,"Pieroni, Blake","=""49.04""","=""2018 Pro Series - Indianapolis""","=""5/17/2018"""
355,"Pieroni, Blake","=""49.04""","=""2018 Pro Series - Columbus ""","=""7/6/2018"""
359,"Jackson, Tate","=""49.05""","=""2019 WUGS""","=""7/7/2019"""
366,"Ress, Justin","=""49.06""","=""2021 NC  TAC TITANS LC Premier""","=""4/9/2021"""
367,"Adrian, Nathan","=""49.07""","=""2020 Stanford Invite""","=""11/21/2020"""
371,"Jackson, Tate","=""49.07""","=""2019 U.S. Open""","=""12/7/2019"""
373,"Pieroni, Blake","=""49.07""","=""2016 Olympic Trials ""","=""6/29/2016"""
376,"Farris, Dean","=""49.08""","=""2018 Summer Nationals""","=""7/25/2018"""
383,"Held, Ryan","=""49.09""","=""2020 Pro Series - Knoxville""","=""1/19/2020"""
384,"Howard, Robert","=""49.09""","=""2019 Pro Series - Bloomington""","=""5/17/2019"""
388,"Held, Ryan","=""49.10""","=""2019 GA Bulldog Grand Slam""","=""6/23/2019"""
393,"Jackson, Tate","=""49.11""","=""2017 U.S. Open""","=""8/2/2017"""
395,"Pieroni, Blake","=""49.11""","=""2019 Pro Series - Des Moines""","=""3/7/2019"""
396,"Seliskar, Andrew","=""49.11""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
397,"Smith, Kieran","=""49.11""","=""2019 Summer Nationals""","=""7/31/2019"""
400,"Apple, Zach","=""49.13""","=""2021 TYR Pro Swim Series - Mis""","=""4/10/2021"""
403,"Pieroni, Blake","=""49.13""","=""2018 Pro Series - Indianapolis""","=""5/17/2018"""
404,"Rooney, Maxime","=""49.13""","=""2015 Winter Nationals""","=""12/5/2015"""
406,"Howard, Robert","=""49.14""","=""2019 U.S. Open""","=""12/7/2019"""
407,"Ress, Justin","=""49.14""","=""2018 Pro Series - Columbus ""","=""7/6/2018"""
408,"Rooney, Maxime","=""49.14""","=""2016 Olympic Trials ""","=""6/29/2016"""
413,"Ress, Justin","=""49.15""","=""2017 Summer Nationals""","=""6/27/2017"""
414,"Stewart, Coleman","=""49.15""","=""2018 Phillips 66 TT""","=""7/25/2018"""
420,"Rooney, Maxime","=""49.16""","=""2017 WUGS""","=""8/23/2017"""
421,"Rooney, Maxime","=""49.16""","=""2017 WUGS""","=""8/24/2017"""
423,"Casas, Shaine","=""49.17""","=""2019 Summer Nationals""","=""7/31/2019"""
424,"Chadwick, Michael","=""49.17""","=""2019 Pro Series - Knoxville""","=""1/12/2019"""
425,"Chadwick, Michael","=""49.17""","=""2018 Pro Series - Mesa""","=""4/13/2018"""
427,"Molacek, Jacob","=""49.17""","=""2018 Summer Nationals""","=""7/25/2018"""
428,"Molacek, Jacob","=""49.17""","=""2019 NC LC SR Championships""","=""7/21/2019"""
431,"Craig, Cameron","=""49.18""","=""2017 Summer Nationals""","=""6/27/2017"""
434,"Grevers, Matt","=""49.18""","=""2017 Summer Nationals""","=""6/27/2017"""
436,"Krueger, Daniel","=""49.18""","=""2018 Summer Nationals""","=""7/25/2018"""
437,"Novak, Jesse","=""49.18""","=""2019 Summer Nationals""","=""7/31/2019"""
438,"Pieroni, Blake","=""49.18""","=""2017 Pro Swim - Atlanta""","=""5/5/2017"""
439,"Ress, Justin","=""49.18""","=""2018 Pro Series - Indianapolis""","=""5/17/2018"""
440,"Ress, Justin","=""49.18""","=""2021 Pro Series - Richmond""","=""1/17/2021"""
441,"Howard, Robert","=""49.19""","=""2017 U.S. Open""","=""8/2/2017"""
443,"Jackson, Tate","=""49.19""","=""2019 WUGS""","=""7/7/2019"""
446,"Pieroni, Blake","=""49.19""","=""2021 TYR Pro Swim Series - San""","=""3/4/2021"""
448,"Rooney, Maxime","=""49.19""","=""2017 Summer Nationals""","=""6/27/2017"""
451,"Dressel, Caeleb","=""49.20""","=""2016 Pro Series - Orlando""","=""3/5/2016"""
453,"Jackson, Tate","=""49.20""","=""2019 ST TXLA Longhorn Long Course Invite""","=""1/17/2019"""
455,"Magahey, Jake","=""49.20""","=""2019 Summer Nationals""","=""7/31/2019"""
456,"Ress, Justin","=""49.20""","=""2018 Pro Series - Columbus ""","=""7/6/2018"""
458,"Becker, Bowe","=""49.21""","=""2019 Summer Nationals""","=""7/31/2019"""
459,"Chadwick, Michael","=""49.21""","=""2021 NC Speedo ESSZ Spring Tim""","=""3/4/2021"""
462,"Held, Ryan","=""49.21""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
465,"Murphy, Ryan","=""49.21""","=""2017 Summer Nationals""","=""6/27/2017"""
468,"Jensen, Michael","=""49.22""","=""2017 Summer Nationals""","=""6/27/2017"""
483,"Bustos, Arsenio","=""49.25""","=""2021 FL ISCA International Senior Meet""","=""3/27/2021"""
484,"Chadwick, Michael","=""49.25""","=""2019 Pro Series - Richmond""","=""4/13/2019"""
490,"Rooney, Maxime","=""49.25""","=""2017 U.S. Open""","=""8/2/2017"""
491,"Smith, Kieran","=""49.25""","=""2019 Summer Nationals""","=""7/31/2019"""
493,"Adrian, Nathan","=""49.26""","=""2016 Pro Series - Austin""","=""1/15/2016"""
494,"Dressel, Caeleb","=""49.26""","=""2017 Pro Swim - Santa Clara""","=""6/2/2017"""
496,"Pieroni, Blake","=""49.26""","=""IU - Louisville Pro Meet""","=""11/8/2019"""
497,"Pieroni, Blake","=""49.26""","=""2018 Pro Series - Columbus ""","=""7/6/2018"""
498,"Rooney, Maxime","=""49.26""","=""2016 Olympic Trials ""","=""6/29/2016"""
499,"Chadwick, Michael","=""49.27""","=""2018 Winter Nationals""","=""12/1/2018"""
500,"Chaney, Adam","=""49.27""","=""2019 World JR Champs""","=""8/25/2019"""
502,"Held, Ryan","=""49.27""","=""2019 Pro Series - Des Moines""","=""3/7/2019"""
503,"Jensen, Michael","=""49.27""","=""2017 Summer Nationals""","=""6/27/2017"""
506,"Chadwick, Michael","=""49.28""","=""2018 Pro Series - Santa Clara ""","=""6/9/2018"""
507,"Chadwick, Michael","=""49.28""","=""2019 CA Speedo Grand Challenge""","=""5/26/2019"""
509,"Kibler, Drew","=""49.28""","=""2018 Summer Nationals""","=""7/25/2018"""
510,"Kibler, Drew","=""49.28""","=""2019 Summer Nationals""","=""7/31/2019"""
513,"Farris, Dean","=""49.29""","=""2019 GA Atlanta Classic Swim Meet""","=""5/19/2019"""
516,"Pieroni, Blake","=""49.29""","=""2017 Pro Swim - Atlanta""","=""5/5/2017"""
521,"Chadwick, Michael","=""49.30""","=""2019 U.S. Open""","=""12/7/2019"""
524,"Howard, Robert","=""49.30""","=""2019 Pro Series - Bloomington""","=""5/17/2019"""
529,"Adrian, Nathan","=""49.31""","=""2015 Winter Nationals""","=""12/5/2015"""
530,"Adrian, Nathan","=""49.31""","=""2019 Pro Series - Bloomington""","=""5/17/2019"""
535,"Adrian, Nathan","=""49.32""","=""2017 Pro Series - Indianapolis""","=""3/2/2017"""
536,"Becker, Bowe","=""49.32""","=""2017 Summer Nationals""","=""6/27/2017"""
542,"Held, Ryan","=""49.32""","=""2017 Pro Series - Austin ""","=""1/13/2017"""
549,"Howard, Robert","=""49.33""","=""2018 SE Richard Quick Invitati""","=""6/24/2018"""
550,"Rooney, Maxime","=""49.33""","=""2017 U.S. Open""","=""8/2/2017"""
551,"Craig, Cameron","=""49.34""","=""2017 Summer Nationals""","=""6/27/2017"""
552,"Molacek, Jacob","=""49.34""","=""2018 Summer Nationals""","=""7/25/2018"""
557,"Held, Ryan","=""49.35""","=""2018 Pro Series - Austin ""","=""1/12/2018"""
559,"Jensen, Michael","=""49.35""","=""2017 Pro Swim - Santa Clara""","=""6/2/2017"""
560,"Krueger, Daniel","=""49.35""","=""2017 World JR Champs ""","=""8/28/2017"""
563,"Molacek, Jacob","=""49.35""","=""2018 Phillips 66 TT""","=""7/27/2018"""
565,"Chadwick, Michael","=""49.36""","=""2019 Pro Series - Clovis""","=""6/15/2019"""
571,"Haas, Townley","=""49.37""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
572,"Pieroni, Blake","=""49.37""","=""2019 Pro Series - Bloomington""","=""5/17/2019"""
574,"Dressel, Caeleb","=""49.38""","=""2017 Pro Swim - Santa Clara""","=""6/2/2017"""
587,"Pieroni, Blake","=""49.39""","=""2016 Olympic Trials ""","=""6/29/2016"""
590,"Theall, Mark","=""49.39""","=""2019 Summer Nationals""","=""7/31/2019"""
591,"Chadwick, Michael","=""49.40""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
592,"Chadwick, Michael","=""49.40""","=""2020 de Nice-FFN Golden Tour Cami""","=""2/8/2020"""
593,"Chadwick, Michael","=""49.40""","=""2020 de Nice-FFN Golden Tour Cami""","=""2/7/2020"""
594,"Conger, Jack","=""49.40""","=""2018 Sectionals - Austin""","=""7/12/2018"""
599,"Lasco, Destin","=""49.40""","=""2018 Summer Nationals""","=""7/25/2018"""
603,"Rooney, Maxime","=""49.40""","=""2021 TYR Pro Swim Series - San""","=""3/4/2021"""
604,"Apple, Zach","=""49.41""","=""2018 Pro Series - Columbus ""","=""7/6/2018"""
605,"Apple, Zach","=""49.41""","=""2019 Pro Series - Bloomington""","=""5/17/2019"""
607,"Craig, Cameron","=""49.41""","=""2016 Jr Pan Pacific Champs""","=""8/25/2016"""
609,"Held, Ryan","=""49.42""","=""2019 GA Bulldog Grand Slam""","=""6/23/2019"""
610,"Kibler, Drew","=""49.42""","=""2018 Jr Pan Pacific Champs""","=""8/24/2018"""
613,"Apple, Zach","=""49.43""","=""2016 SE Richard Quick Invitati""","=""6/19/2016"""
619,"Baker, Ryan","=""49.44""","=""2018 Phillips 66 TT""","=""7/27/2018"""
622,"Farris, Dean","=""49.44""","=""2018 NE SSA Senior Champs""","=""7/15/2018"""
623,"Jackson, Tate","=""49.44""","=""2019 U.S. Open""","=""12/7/2019"""
624,"Kibler, Drew","=""49.44""","=""2018 Summer Nationals""","=""7/25/2018"""
